tag_key 對照如下
abstract	抽象名詞
action	行動
advanced	高級
agriculture	農耕
animal	動物(含昆蟲)
aux_verb	助動詞
body	身體部位
building	建築
characteristic	特徵
colour	顏色
custom	傳統文化與習俗
diet	飲食
elementary	初級
food	食物(非植物)
hunting	狩獵
identity	人物、身分
intermediate	中級
interrogative	疑問詞
life	生老病死傷
movement	肢體動作
nature	自然景觀
negative	否定詞
number	數字計量
object	物品(不含食品)
other	其他
plant	植物
pronoun	代名詞、指示詞
ptcl	助詞或其他
relatives	親屬稱謂
religion	宗教
routine	生活作息
sense	認知感官
sound	聲音
space	空間
terrain	山川地理
time	時間
transportation	交通
upper-intermediate	中高級
weaving	織布服飾
l'amisay 南勢阿美
Siwkolang 秀姑巒阿美
Pasawali 海岸阿美
Farangaw 馬蘭阿美
Palidaw 恆春阿美
